poi_id,lat,lon,cell_site_dist,4G_coverage,is_connected,is_visible,num_visible,fiber_length_1km,mst_solution_1km,fiber_length_2km,mst_solution_2km,fiber_length_3km,mst_solution_3km,fiber_length_4km,mst_solution_4km,fiber_length_5km,mst_solution_5km,fiber_length_6km,mst_solution_6km,fiber_length_7km,mst_solution_7km,fiber_length_8km,mst_solution_8km,fiber_length_9km,mst_solution_9km,fiber_length_10km,mst_solution_10km,fiber_length_11km,mst_solution_11km,fiber_length_12km,mst_solution_12km,fiber_length_13km,mst_solution_13km,fiber_length_14km,mst_solution_14km,fiber_length_15km,mst_solution_15km,technology_1km,technology_2km,technology_3km,technology_4km,technology_5km,technology_6km,technology_7km,technology_8km,technology_9km,technology_10km,technology_11km,technology_12km,technology_13km,technology_14km,technology_15km
005e4a38-ee50-41b2-a7ba-fd8fd86c5179,38.9309528,1.286008074,1026,0.0,0,True,3,,0.0,1.863578,1.0,1.863578,1.0,1.863578,1.0,1.863578,1.0,1.863578,1.0,1.863578,1.0,1.863578,1.0,1.863578,1.0,1.863578,1.0,1.863578,1.0,1.863578,1.0,1.863578,1.0,1.863578,1.0,1.863578,1.0,Additional P2P microwave,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber
019d2f45-228e-4943-b302-1af7cb2ae820,38.9426318,1.238764234,1982,0.0,0,False,0,,0.0,,0.0,2.0058030000000002,1.0,2.0058030000000002,1.0,2.0058030000000002,1.0,2.0058030000000002,1.0,2.0058030000000002,1.0,2.0058030000000002,1.0,2.0058030000000002,1.0,2.0058030000000002,1.0,2.0058030000000002,1.0,2.0058030000000002,1.0,2.0058030000000002,1.0,2.0058030000000002,1.0,2.0058030000000002,1.0,Satellite,Satellite,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber
03116452-1288-434e-83d5-fed21199c4a8,39.04222339,1.509642134,658,0.0,0,True,3,0.47898,1.0,0.47898,1.0,0.47898,1.0,0.47898,1.0,0.47898,1.0,0.47898,1.0,0.47898,1.0,0.47898,1.0,0.47898,1.0,0.47898,1.0,0.47898,1.0,0.47898,1.0,0.47898,1.0,0.47898,1.0,0.47898,1.0,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber
033ae344-5dde-4ee7-8abd-9c83729197bf,38.91547977,1.245338784,610,0.0,0,True,1,0.9654940000000001,1.0,0.9654940000000001,1.0,0.9654940000000001,1.0,0.9654940000000001,1.0,0.9654940000000001,1.0,0.9654940000000001,1.0,0.9654940000000001,1.0,0.9654940000000001,1.0,0.9654940000000001,1.0,0.9654940000000001,1.0,0.9654940000000001,1.0,0.9654940000000001,1.0,0.9654940000000001,1.0,0.9654940000000001,1.0,0.9654940000000001,1.0,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber
04da0ba1-3b87-4a8e-bb66-72ac9a19f1cd,38.88978634,1.385841056,924,0.0,0,True,3,,0.0,,0.0,2.087119,1.0,2.087119,1.0,2.087119,1.0,2.087119,1.0,2.087119,1.0,2.087119,1.0,2.087119,1.0,2.087119,1.0,2.087119,1.0,2.087119,1.0,2.087119,1.0,2.087119,1.0,2.087119,1.0,Additional P2P microwave,Additional P2P microwave,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber
07514ee2-1dd3-4e93-a5fb-8a1a70b64edd,39.04410963,1.566748446,2063,0.0,0,True,2,0.27756200000000003,1.0,0.27756200000000003,1.0,0.27756200000000003,1.0,0.27756200000000003,1.0,0.27756200000000003,1.0,0.27756200000000003,1.0,0.27756200000000003,1.0,0.27756200000000003,1.0,0.27756200000000003,1.0,0.27756200000000003,1.0,0.27756200000000003,1.0,0.27756200000000003,1.0,0.27756200000000003,1.0,0.27756200000000003,1.0,0.27756200000000003,1.0,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber
08d556b6-931d-4029-a82c-e651113c6d63,39.01980367,1.58176983,2547,0.0,0,True,1,,0.0,0.582547,1.0,0.582547,1.0,0.582547,1.0,0.582547,1.0,0.582547,1.0,0.582547,1.0,0.582547,1.0,0.582547,1.0,0.582547,1.0,0.582547,1.0,0.582547,1.0,0.582547,1.0,0.582547,1.0,0.582547,1.0,Additional P2P microwave,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber
0b373675-de87-476b-9262-a0f7d9fe97c7,38.98843938,1.425056641,934,0.0,0,True,3,,0.0,1.6807370000000001,1.0,1.6807370000000001,1.0,1.6807370000000001,1.0,1.6807370000000001,1.0,1.6807370000000001,1.0,1.6807370000000001,1.0,1.6807370000000001,1.0,1.6807370000000001,1.0,1.6807370000000001,1.0,1.6807370000000001,1.0,1.6807370000000001,1.0,1.6807370000000001,1.0,1.6807370000000001,1.0,1.6807370000000001,1.0,Additional P2P microwave,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber
1332292e-3d0f-4aa3-bf72-1a22752dea15,39.05934325,1.350554245,128,0.0,0,True,3,,0.0,,0.0,,0.0,0.473545,1.0,0.473545,1.0,0.473545,1.0,0.473545,1.0,0.473545,1.0,0.473545,1.0,0.473545,1.0,0.473545,1.0,0.473545,1.0,0.473545,1.0,0.473545,1.0,0.473545,1.0,Additional P2P microwave,Additional P2P microwave,Additional P2P microwave,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber
1472ba6a-9a43-4921-a751-efedc0e5fcf4,38.92541254,1.336193129,505,0.0,0,True,3,,0.0,1.974537,1.0,1.974537,1.0,1.974537,1.0,1.974537,1.0,1.974537,1.0,1.974537,1.0,1.974537,1.0,1.974537,1.0,1.974537,1.0,1.974537,1.0,1.974537,1.0,1.974537,1.0,1.974537,1.0,1.974537,1.0,Additional P2P microwave,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber
18f3f320-cd31-4249-829c-71d90dc9a918,38.9354761,1.489272793,2145,0.0,0,False,0,,0.0,0.401772,1.0,0.401772,1.0,0.401772,1.0,0.401772,1.0,0.401772,1.0,0.401772,1.0,0.401772,1.0,0.401772,1.0,0.401772,1.0,0.401772,1.0,0.401772,1.0,0.401772,1.0,0.401772,1.0,0.401772,1.0,Satellite,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber
1914138c-459b-4d5d-8aff-23f1aca8965c,38.95305666,1.448931843,412,0.0,0,True,3,,0.0,1.155883,1.0,1.155883,1.0,1.155883,1.0,1.155883,1.0,1.155883,1.0,1.155883,1.0,1.155883,1.0,1.155883,1.0,1.155883,1.0,1.155883,1.0,1.155883,1.0,1.155883,1.0,1.155883,1.0,1.155883,1.0,Additional P2P microwave,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber
19e7719f-cf3d-456a-9aac-b00ec55013e1,39.06687031,1.439501167,1859,0.0,0,True,2,,0.0,1.861367,1.0,1.861367,1.0,1.861367,1.0,1.861367,1.0,1.861367,1.0,1.861367,1.0,1.861367,1.0,1.861367,1.0,1.861367,1.0,1.861367,1.0,1.861367,1.0,1.861367,1.0,1.861367,1.0,1.861367,1.0,Additional P2P microwave,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber
1e1ce347-2c9a-42a9-8cad-29811f0a9f8e,38.8986367,1.361241211,1840,0.0,0,True,3,,0.0,,0.0,0.7266520000000001,1.0,0.7266520000000001,1.0,0.7266520000000001,1.0,0.7266520000000001,1.0,0.7266520000000001,1.0,0.7266520000000001,1.0,0.7266520000000001,1.0,0.7266520000000001,1.0,0.7266520000000001,1.0,0.7266520000000001,1.0,0.7266520000000001,1.0,0.7266520000000001,1.0,0.7266520000000001,1.0,Additional P2P microwave,Additional P2P microwave,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber
1f8a8a01-714b-40f2-b55d-fbcb916dd75f,38.89703316,1.327597846,2333,0.0,0,True,1,,0.0,1.6449280000000002,1.0,1.6449280000000002,1.0,1.6449280000000002,1.0,1.6449280000000002,1.0,1.6449280000000002,1.0,1.6449280000000002,1.0,1.6449280000000002,1.0,1.6449280000000002,1.0,1.6449280000000002,1.0,1.6449280000000002,1.0,1.6449280000000002,1.0,1.6449280000000002,1.0,1.6449280000000002,1.0,1.6449280000000002,1.0,Additional P2P microwave,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber
1fa23b03-6f38-49e7-98de-c0d5a352d05a,39.086867,1.486454693,270,0.0,0,True,3,,0.0,1.030187,1.0,1.030187,1.0,1.030187,1.0,1.030187,1.0,1.030187,1.0,1.030187,1.0,1.030187,1.0,1.030187,1.0,1.030187,1.0,1.030187,1.0,1.030187,1.0,1.030187,1.0,1.030187,1.0,1.030187,1.0,Additional P2P microwave,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber
20de2790-fc66-422b-a12f-6a5f65c00470,38.91804214,1.432341493,1652,0.0,0,True,3,0.441601,1.0,0.441601,1.0,0.441601,1.0,0.441601,1.0,0.441601,1.0,0.441601,1.0,0.441601,1.0,0.441601,1.0,0.441601,1.0,0.441601,1.0,0.441601,1.0,0.441601,1.0,0.441601,1.0,0.441601,1.0,0.441601,1.0,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber
23dd6a45-3656-435b-b3b1-c16efab9daeb,39.00777101,1.561872175,1158,1.0,0,True,3,,0.0,1.997525,1.0,1.997525,1.0,1.997525,1.0,1.997525,1.0,1.997525,1.0,1.997525,1.0,1.997525,1.0,1.997525,1.0,1.997525,1.0,1.997525,1.0,1.997525,1.0,1.997525,1.0,1.997525,1.0,1.997525,1.0,Existing cellular,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber
249cd328-89bc-4d29-a98f-1c733aae4201,38.98430143,1.353788387,512,0.0,0,True,3,,0.0,1.427395,1.0,1.427395,1.0,1.427395,1.0,1.427395,1.0,1.427395,1.0,1.427395,1.0,1.427395,1.0,1.427395,1.0,1.427395,1.0,1.427395,1.0,1.427395,1.0,1.427395,1.0,1.427395,1.0,1.427395,1.0,Additional P2P microwave,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber
292f0d20-f275-44f5-a40f-cf0e80c3a067,38.97752283,1.407620621,1084,0.0,0,True,3,,0.0,0.190141,1.0,0.190141,1.0,0.190141,1.0,0.190141,1.0,0.190141,1.0,0.190141,1.0,0.190141,1.0,0.190141,1.0,0.190141,1.0,0.190141,1.0,0.190141,1.0,0.190141,1.0,0.190141,1.0,0.190141,1.0,Additional P2P microwave,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber
2b2ca058-e2b5-4ce2-a075-c3075f9027ef,39.07637005,1.413143902,689,0.0,0,False,0,,0.0,1.474225,1.0,1.474225,1.0,1.474225,1.0,1.474225,1.0,1.474225,1.0,1.474225,1.0,1.474225,1.0,1.474225,1.0,1.474225,1.0,1.474225,1.0,1.474225,1.0,1.474225,1.0,1.474225,1.0,1.474225,1.0,Satellite,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber
2e783986-86c8-40c6-905c-837d9112f4f7,38.97096944,1.359549418,814,0.0,0,True,3,,0.0,0.7403609999999999,1.0,0.7403609999999999,1.0,0.7403609999999999,1.0,0.7403609999999999,1.0,0.7403609999999999,1.0,0.7403609999999999,1.0,0.7403609999999999,1.0,0.7403609999999999,1.0,0.7403609999999999,1.0,0.7403609999999999,1.0,0.7403609999999999,1.0,0.7403609999999999,1.0,0.7403609999999999,1.0,0.7403609999999999,1.0,Additional P2P microwave,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber
2f4c020c-6569-4220-9152-d47361213edb,39.02439169,1.490407817,744,0.0,0,True,3,,0.0,1.055768,1.0,1.055768,1.0,1.055768,1.0,1.055768,1.0,1.055768,1.0,1.055768,1.0,1.055768,1.0,1.055768,1.0,1.055768,1.0,1.055768,1.0,1.055768,1.0,1.055768,1.0,1.055768,1.0,1.055768,1.0,Additional P2P microwave,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber
304e1e26-439a-45fb-8837-9a38fdc6ec41,38.92045977,1.443926473,1802,0.0,0,True,3,0.862034,1.0,0.862034,1.0,0.862034,1.0,0.862034,1.0,0.862034,1.0,0.862034,1.0,0.862034,1.0,0.862034,1.0,0.862034,1.0,0.862034,1.0,0.862034,1.0,0.862034,1.0,0.862034,1.0,0.862034,1.0,0.862034,1.0,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber
316677be-d43e-4119-ac88-7b54e561fb17,39.0051067,1.454736686,569,0.0,0,True,3,0.743332,1.0,0.743332,1.0,0.743332,1.0,0.743332,1.0,0.743332,1.0,0.743332,1.0,0.743332,1.0,0.743332,1.0,0.743332,1.0,0.743332,1.0,0.743332,1.0,0.743332,1.0,0.743332,1.0,0.743332,1.0,0.743332,1.0,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber
34cb2c0a-8709-4603-afe6-76f630165788,38.89706249,1.288587958,3321,0.0,0,True,2,,0.0,0.417293,1.0,0.417293,1.0,0.417293,1.0,0.417293,1.0,0.417293,1.0,0.417293,1.0,0.417293,1.0,0.417293,1.0,0.417293,1.0,0.417293,1.0,0.417293,1.0,0.417293,1.0,0.417293,1.0,0.417293,1.0,Additional P2P microwave,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber
35e45aa4-2e7b-47e3-8157-7f6caa51b3f2,38.83495517,1.370773233,1813,0.0,0,True,3,,0.0,,0.0,2.3047579999999996,1.0,2.3047579999999996,1.0,2.3047579999999996,1.0,2.3047579999999996,1.0,2.3047579999999996,1.0,2.3047579999999996,1.0,2.3047579999999996,1.0,2.3047579999999996,1.0,2.3047579999999996,1.0,2.3047579999999996,1.0,2.3047579999999996,1.0,2.3047579999999996,1.0,2.3047579999999996,1.0,Additional P2P microwave,Additional P2P microwave,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber
386b10fd-d902-4f9a-aa89-70120f982487,38.95031751,1.473349019,585,0.0,0,True,3,,0.0,1.748467,1.0,1.748467,1.0,1.748467,1.0,1.748467,1.0,1.748467,1.0,1.748467,1.0,1.748467,1.0,1.748467,1.0,1.748467,1.0,1.748467,1.0,1.748467,1.0,1.748467,1.0,1.748467,1.0,1.748467,1.0,Additional P2P microwave,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber
3c1b571e-ab30-4c81-832d-51bdfef51bba,38.97033793,1.2855323,591,0.0,0,True,3,0.88823,1.0,0.88823,1.0,0.88823,1.0,0.88823,1.0,0.88823,1.0,0.88823,1.0,0.88823,1.0,0.88823,1.0,0.88823,1.0,0.88823,1.0,0.88823,1.0,0.88823,1.0,0.88823,1.0,0.88823,1.0,0.88823,1.0,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber
40a28229-3dbf-4f08-a516-3f46680a2e55,38.86416215,1.308331692,875,0.0,0,True,2,,0.0,,0.0,,0.0,3.574202,1.0,3.574202,1.0,3.574202,1.0,3.574202,1.0,3.574202,1.0,3.574202,1.0,3.574202,1.0,3.574202,1.0,3.574202,1.0,3.574202,1.0,3.574202,1.0,3.574202,1.0,Additional P2P microwave,Additional P2P microwave,Additional P2P microwave,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber
4267fc81-0e9f-40ca-84c8-84529958dc22,39.00426587,1.525952107,1066,1.0,0,True,3,,0.0,1.6775239999999998,1.0,1.6775239999999998,1.0,1.6775239999999998,1.0,1.6775239999999998,1.0,1.6775239999999998,1.0,1.6775239999999998,1.0,1.6775239999999998,1.0,1.6775239999999998,1.0,1.6775239999999998,1.0,1.6775239999999998,1.0,1.6775239999999998,1.0,1.6775239999999998,1.0,1.6775239999999998,1.0,1.6775239999999998,1.0,Existing cellular,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber
