x,y,splitter,geometry
1.58176983,39.01980367,False,POINT (1.58176983 39.01980367)
1.57884222,39.01508425,False,POINT (1.57884222 39.01508425)
1.564889899,39.01812244,False,POINT (1.564889899 39.01812244)
1.517970918,39.11067597,False,POINT (1.517970918 39.11067597)
1.4950373317231889,39.09330591477868,False,POINT (1.4950373317231889 39.09330591477868)
1.450226287,38.96340292,False,POINT (1.450226287 38.96340292)
1.444245643,38.9785459,False,POINT (1.444245643 38.9785459)
1.533819114,38.99388465,False,POINT (1.533819114 38.99388465)
1.525952107,39.00426587,False,POINT (1.525952107 39.00426587)
1.473349019,38.95031751,False,POINT (1.473349019 38.95031751)
1.486096642,38.93811274,True,POINT (1.486096642 38.93811274)
1.485837838,38.98630403,False,POINT (1.485837838 38.98630403)
1.478474294706223,38.96871059460573,False,POINT (1.478474294706223 38.96871059460573)
1.490407817,39.02439169,False,POINT (1.490407817 39.02439169)
1.4839410995707265,39.032448618755886,False,POINT (1.4839410995707265 39.032448618755886)
1.515630846,38.97524865,False,POINT (1.515630846 38.97524865)
1.509104011,38.95790439,False,POINT (1.509104011 38.95790439)
1.540723947,38.98795524,False,POINT (1.540723947 38.98795524)
1.561872175,39.00777101,False,POINT (1.561872175 39.00777101)
1.558964273,39.06236908,False,POINT (1.558964273 39.06236908)
1.5668066722645115,39.04660540307098,True,POINT (1.5668066722645115 39.04660540307098)
1.454736686,39.0051067,False,POINT (1.454736686 39.0051067)
1.4462440324726724,39.00617212287886,False,POINT (1.4462440324726724 39.00617212287886)
1.425056641,38.98843938,True,POINT (1.425056641 38.98843938)
1.443218896,38.99384263,True,POINT (1.443218896 38.99384263)
1.407620621,38.97752283,False,POINT (1.407620621 38.97752283)
1.408158651,38.97918087,False,POINT (1.408158651 38.97918087)
1.566748446,39.04410963,False,POINT (1.566748446 39.04410963)
1.413143902,39.07637005,False,POINT (1.413143902 39.07637005)
1.4183225187348312,39.0637363507722,False,POINT (1.4183225187348312 39.0637363507722)
1.4683498617511264,38.92883833955096,False,POINT (1.4683498617511264 38.92883833955096)
1.439501167,39.06687031,False,POINT (1.439501167 39.06687031)
1.548169891,38.99330314,False,POINT (1.548169891 38.99330314)
1.507408008,38.9574601,False,POINT (1.507408008 38.9574601)
1.5010741177265794,38.95511933204308,False,POINT (1.5010741177265794 38.95511933204308)
1.509642134,39.04222339,False,POINT (1.509642134 39.04222339)
1.5058358585439464,39.03909044734799,False,POINT (1.5058358585439464 39.03909044734799)
1.482114837,39.03821867,False,POINT (1.482114837 39.03821867)
1.540372474,39.08134747,False,POINT (1.540372474 39.08134747)
1.5374548052965848,39.07327299591535,False,POINT (1.5374548052965848 39.07327299591535)
1.408712151,38.98212655,False,POINT (1.408712151 38.98212655)
1.427518529,38.9399882,False,POINT (1.427518529 38.9399882)
1.448931843,38.95305666,False,POINT (1.448931843 38.95305666)
1.486454693,39.086867,False,POINT (1.486454693 39.086867)
1.540936116,39.01717741,False,POINT (1.540936116 39.01717741)
1.5350756061860966,39.01758281012609,False,POINT (1.5350756061860966 39.01758281012609)
1.432341493,38.91804214,False,POINT (1.432341493 38.91804214)
1.4362657306935869,38.91550253429326,False,POINT (1.4362657306935869 38.91550253429326)
1.418651684,39.00303877,False,POINT (1.418651684 39.00303877)
1.455433486,39.02280274,False,POINT (1.455433486 39.02280274)
1.4490243174006947,39.01400907040795,False,POINT (1.4490243174006947 39.01400907040795)
1.443926473,38.92045977,False,POINT (1.443926473 38.92045977)
1.581172796,39.05072478,False,POINT (1.581172796 39.05072478)
1.489272793,38.9354761,False,POINT (1.489272793 38.9354761)
1.418358779,38.97066928,False,POINT (1.418358779 38.97066928)
1.460825577,39.05118032,False,POINT (1.460825577 39.05118032)
1.559896146,39.09216585,False,POINT (1.559896146 39.09216585)
1.308331692,38.86416215,False,POINT (1.308331692 38.86416215)
1.3053223157733602,38.89622024333886,False,POINT (1.3053223157733602 38.89622024333886)
1.295383013,38.90931426,False,POINT (1.295383013 38.90931426)
1.301800572,38.90393963,False,POINT (1.301800572 38.90393963)
1.246525267,38.96195614,False,POINT (1.246525267 38.96195614)
1.238187992,38.96691495,False,POINT (1.238187992 38.96691495)
1.366680989,38.90620842,False,POINT (1.366680989 38.90620842)
1.361241211,38.8986367,False,POINT (1.361241211 38.8986367)
1.327597846,38.89703316,False,POINT (1.327597846 38.89703316)
1.30925045,38.90089976,True,POINT (1.30925045 38.90089976)
1.382562293,38.94475765,False,POINT (1.382562293 38.94475765)
1.374346836,38.92652564,False,POINT (1.374346836 38.92652564)
1.378797427,38.88051984,False,POINT (1.378797427 38.88051984)
1.385841056,38.88978634,False,POINT (1.385841056 38.88978634)
1.370773233,38.83495517,False,POINT (1.370773233 38.83495517)
1.371649766,38.85567112,True,POINT (1.371649766 38.85567112)
1.245338784,38.91547977,False,POINT (1.245338784 38.91547977)
1.2557625683802798,38.91237974944803,False,POINT (1.2557625683802798 38.91237974944803)
1.359549418,38.97096944,False,POINT (1.359549418 38.97096944)
1.369830696,38.98125539,False,POINT (1.369830696 38.98125539)
1.391227572,38.9608426,False,POINT (1.391227572 38.9608426)
1.386549067,38.9531428,False,POINT (1.386549067 38.9531428)
1.307153307,38.93416638,False,POINT (1.307153307 38.93416638)
1.3132369454210202,38.93426481866821,False,POINT (1.3132369454210202 38.93426481866821)
1.2383124291257583,38.97036285287722,False,POINT (1.2383124291257583 38.97036285287722)
1.336193129,38.92541254,False,POINT (1.336193129 38.92541254)
1.330989881,38.94270256,True,POINT (1.330989881 38.94270256)
1.398807221,38.85313758,False,POINT (1.398807221 38.85313758)
1.323312356,38.95676889,False,POINT (1.323312356 38.95676889)
1.331319864,38.95013868,False,POINT (1.331319864 38.95013868)
1.230029032,38.89004912,False,POINT (1.230029032 38.89004912)
1.2547497106257115,38.88007757269891,False,POINT (1.2547497106257115 38.88007757269891)
1.354087839,38.89521462,False,POINT (1.354087839 38.89521462)
1.24701343,38.95949111,False,POINT (1.24701343 38.95949111)
1.286008074,38.9309528,False,POINT (1.286008074 38.9309528)
1.323798873,38.96675571,False,POINT (1.323798873 38.96675571)
1.320599286,38.96558957,False,POINT (1.320599286 38.96558957)
1.238764234,38.9426318,False,POINT (1.238764234 38.9426318)
1.288493327,38.90081458,False,POINT (1.288493327 38.90081458)
1.3146801,38.94350397,False,POINT (1.3146801 38.94350397)
1.305319773,38.98952019,False,POINT (1.305319773 38.98952019)
1.321503371,38.99706412,False,POINT (1.321503371 38.99706412)
1.359063479,38.96432194,False,POINT (1.359063479 38.96432194)
1.259268392,38.86889715,False,POINT (1.259268392 38.86889715)
1.34637954,39.06210527,False,POINT (1.34637954 39.06210527)
1.337051623,39.05158039,False,POINT (1.337051623 39.05158039)
1.2855323,38.97033793,False,POINT (1.2855323 38.97033793)
1.289999275672372,38.96314443685725,False,POINT (1.289999275672372 38.96314443685725)
1.315454383,38.95906283,False,POINT (1.315454383 38.95906283)
1.276045852,38.90932032,False,POINT (1.276045852 38.90932032)
1.2754202,38.90685783,False,POINT (1.2754202 38.90685783)
1.288587958,38.89706249,False,POINT (1.288587958 38.89706249)
1.247868859,38.86134812,False,POINT (1.247868859 38.86134812)
1.262128614,38.90165325,False,POINT (1.262128614 38.90165325)
1.353788387,38.98430143,False,POINT (1.353788387 38.98430143)
1.353724734,38.99313359,False,POINT (1.353724734 38.99313359)
1.244596552,38.86260202,False,POINT (1.244596552 38.86260202)
1.3101884539227653,39.02763792620362,False,POINT (1.3101884539227653 39.02763792620362)
1.239488959,38.93397385,False,POINT (1.239488959 38.93397385)
1.310230843,39.0086591,False,POINT (1.310230843 39.0086591)
1.350554245,39.05934325,False,POINT (1.350554245 39.05934325)
1.409553323,38.89320415,False,POINT (1.409553323 38.89320415)
1.29261,38.95421761,False,POINT (1.29261 38.95421761)
